13091,53758,41.8
13093,57325,43.2
13095,54662,35.6
13097,77559,36.5
13099,46829,39.9
13101,53541,40.6
13103,85885,36
13105,53908,42.6
13107,50288,36.9
13109,54026,37.6
13111,64930,52.1
13113,120612,43.4
13115,67957,38.3
13117,128476,38.5
13119,59091,41.2
13121,113594,35.5
13123,67610,47.2
13125,61176,42.7
13127,81578,41.6
13129,63076,38.4
13131,58661,40.3
13133,89654,50.2
13135,91502,35.3
13137,63866,39.7
13139,86265,36.7
13141,48174,45.6
13143,63993,40.4
13145,99608,42.9
13147,58702,44.1
13149,58620,41.9
13151,85540,36.9
13153,77239,35.4
13155,51912,39.7
13157,81860,38.1
13159,60275,43
13161,47619,36.6
13163,47500,40
13165,39307,44.3
13167,50557,41.8
13169,66967,40.4
13171,58828,37.8
13173,50196,35.6
13175,56190,38.9
13177,82953,37.2
13179,58338,28.4
13181,60154,47.1
13183,63440,32.9
13185,61180,30.5
13187,71726,37
13189,55341,37.7
13191,61632,49.4
13193,46927,40.3
13195,65543,41.1
13197,55358,44.6
13199,51952,42.3
13201,57772,43.5
13205,51694,39
13207,86317,42.9
13209,61661,40
13211,87406,44.6
13213,59543,38.2
13215,65942,34
13217,71820,36.4
13219,122678,40.4
13221,58012,42.4
13223,80865,36
13225,63011,37.9
13227,81284,45.4
13229,59010,39.4
13231,78604,40.4
13233,64011,37
13235,58868,43.1
13237,76143,46.2
13239,44571,47.3
13241,66194,49.2
13243,42080,41
13245,58176,34.1
13247,77956,38.1
13249,54667,37.8
13251,56501,41.4
13253,65251,44.9
13255,63580,39.2
13257,62370,41.8
13259,46204,35.4
13261,53060,35.7
13263,49085,50.1
13265,49292,44.2
13267,57852,37.3
13269,49357,45.2
13271,51004,41.5
13273,50725,41.1
13275,67588,40.4
13277,60196,36.2
13279,64821,36.4
13281,61147,54
13283,53068,40.1
13285,60945,36.4
13287,50365,40.3
13289,49399,45.7
13291,66554,54.3
13293,52684,42.1
13295,61409,41.4
13297,78154,38.7
13299,52895,39.5
13301,53077,45.1
13303,52936,41.5
13305,58658,38.9
13307,53823,45.1
13309,39372,38.8
13311,67742,46.1
13313,66969,36
13315,53060,39.8
13317,58715,45.1
13319,53601,42.6
13321,61666,41.6
15001,82222,42.7
15003,109304,37.9
15005,83246,57.4
15007,96091,42.6
15009,102759,41.2
16001,88757,37
16003,62433,55.2
16005,66696,33.8
16007,66372,39.6
16009,56776,46.2
16011,67631,33.6
16013,82455,43.2
16015,72816,54
16017,66370,47.9
16019,80777,32.9
16021,64115,43.5
16023,69040,45.2
16025,72695,44.5
16027,64252,33.6
16029,72773,36.9
16031,66145,32.9
16033,52716,33.2
16035,56978,50.4
16037,52046,53
16039,56989,32.3
16041,73488,32.8
16043,68783,37.6
16045,57326,44.6
16047,62514,38.7
16049,54281,50.2
16051,78637,31.5
16053,62875,32.7
